"Date","Price","Volume","Market_cap"
"2023-06-04 00:00:00 UTC+0","1892.73544487","3272012284.176925","227575178887.52298000"
"2023-06-03 00:00:00 UTC+0","1905.26925075","2793304937.056710","229083309417.84460000"
"2023-06-02 00:00:00 UTC+0","1907.93991814","5534595307.634607","229415994190.65768000"
"2023-06-01 00:00:00 UTC+0","1862.34646919","4934780587.489592","223938946863.77307000"
"2023-05-31 00:00:00 UTC+0","1874.37640514","5324146958.723158","225391090308.58514000"
"2023-05-30 00:00:00 UTC+0","1901.10696903","4521578433.405208","228611013180.42690000"
"2023-05-29 00:00:00 UTC+0","1893.24719692","5086237081.720584","227671121232.21573000"
"2023-05-28 00:00:00 UTC+0","1910.81804100","6054908572.684431","229787353807.23892000"
"2023-05-27 00:00:00 UTC+0","1831.69860150","2583083871.840186","220274163082.17343000"
"2023-05-26 00:00:00 UTC+0","1829.25735350","4668753939.526416","219983024526.18170000"
"2023-05-25 00:00:00 UTC+0","1805.99119021","5651189405.520581","217188727233.39267000"
"2023-05-24 00:00:00 UTC+0","1800.24258998","6343592926.937843","216517130450.54810000"
"2023-05-23 00:00:00 UTC+0","1853.97828662","5803013489.578678","222979981014.90195000"
"2023-05-22 00:00:00 UTC+0","1817.44870922","3879678255.115315","218586529087.61536000"
"2023-05-21 00:00:00 UTC+0","1804.74571078","2856368115.934439","217061733660.08255000"
"2023-05-20 00:00:00 UTC+0","1820.84713143","2329813361.082655","219003613164.65780000"
"2023-05-19 00:00:00 UTC+0","1813.13649595","4051448533.664844","218082842157.74942000"
"2023-05-18 00:00:00 UTC+0","1801.65078214","4916606581.680605","216587113564.54380000"
"2023-05-17 00:00:00 UTC+0","1821.46555956","5373789867.617351","219098627665.92578000"
"2023-05-16 00:00:00 UTC+0","1824.04678075","4952330253.023191","224289041779.13187000"
"2023-05-15 00:00:00 UTC+0","1817.62061484","6212412812.861801","223480028031.16925000"
"2023-05-14 00:00:00 UTC+0","1800.25006907","4245144739.859840","221269533569.37378000"
"2023-05-13 00:00:00 UTC+0","1800.31857264","4227209577.309328","221083038180.76434000"
"2023-05-12 00:00:00 UTC+0","1813.16800361","8810991039.571620","218141668381.92358000"
"2023-05-11 00:00:00 UTC+0","1796.65346232","8310731534.993565","216169213802.94025000"
"2023-05-10 00:00:00 UTC+0","1842.58848182","9379192556.415514","221710235153.49182000"
"2023-05-09 00:00:00 UTC+0","1848.36799895","5675031511.996499","222405657987.28723000"
"2023-05-08 00:00:00 UTC+0","1849.74858014","9921718073.585760","222607206185.43646000"
"2023-05-07 00:00:00 UTC+0","1876.62518664","6900068830.568389","225865388018.89417000"
"2023-05-06 00:00:00 UTC+0","1907.77839069","9766320394.061722","229614901011.54960000"
"2023-05-05 00:00:00 UTC+0","2000.98818413","9955327879.785960","240870677232.79483000"
"2023-05-04 00:00:00 UTC+0","1877.61438354","6341241454.622141","226030640825.79395000"
"2023-05-03 00:00:00 UTC+0","1905.23538452","8161740049.149883","229369286721.62607000"
"2023-05-02 00:00:00 UTC+0","1870.75121252","7318103199.741801","225226996065.95038000"
"2023-05-01 00:00:00 UTC+0","1832.02484531","8462719363.532290","220569428722.72357000"
"2023-04-30 00:00:00 UTC+0","1878.70789122","6161357362.402155","226193394104.70960000"
"2023-04-29 00:00:00 UTC+0","1912.21014110","4575096854.774744","230238362839.52365000"
"2023-04-28 00:00:00 UTC+0","1897.58309640","7402572673.873315","228473634588.21304000"
"2023-04-27 00:00:00 UTC+0","1909.00286028","12395384479.460243","229853095123.98840000"
"2023-04-26 00:00:00 UTC+0","1866.41389996","13774493592.139193","224729179148.02536000"
"2023-04-25 00:00:00 UTC+0","1867.11039646","8428337964.919388","224816954613.35050000"
"2023-04-24 00:00:00 UTC+0","1842.04429166","7988431711.397106","221804494377.42056000"
"2023-04-23 00:00:00 UTC+0","1862.82891499","6397280524.251830","224311024186.69992000"
"2023-04-22 00:00:00 UTC+0","1879.50603542","6799819917.666282","226323499984.35980000"
